Autor ohne Grad,Autor mit Grad,Titel,Untertitel,Zeitschrift,Zeitschriftkürzel,Volume,Issue,Datum,Seitennummer,PDF vom Artikel (Druckversion) (Link),PDF vom Artikel (Digitalversion) (Link),DOI vom Artikel,Bildschirmansicht vom Artikel (Link),Abstract von der Gesamtausgabe (Bildschirmansicht) (Link),PDF_Gesamtausgabe_Link_Druck,Abstract vom Artikel,Rubrik,Gesamtausgabe (Bildschirmansicht) (Link),Land
Nicolas Bremer,,"Liability of Managers and Directors under the Law of the GCC Countries: A Comparative Study of the Liability Regimes Existing in the Gulf Cooperation Council Region Illustrated at the Example of Qatar, Saudi Arabia and the United Arab Emirates",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=277,,,,,,,,,Deutschland
Peter Scholz,,Hans-Georg Ebert / Julia Heilen: Islamisches Recht. Ein Lehrbuch,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=307,,,,,,,,,Deutschland
Matthias Hartwig,,Hatem Elliesie / Thilo Marauhn (eds.): Legal Transformation in Northern Africa and South Sudan,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=311,,,,,,,,,Deutschland
Katrin Seidel,,"Bruno Menhofer / Dirk Otto (Hgg.): Recht nach dem Arabischen Frühling, Beiträge zum islamischen Recht IX",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=317,,,,,,,,,Deutschland
Aouni Shahoud Almousa,,Hans-Georg Ebert (Hg.): Beiträge zum Islamischen Recht X,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=325,,,,,,,,,Deutschland
Assem Hefny,,Mahmoud Bassiouni: Menschenrechte zwischen Universalität und islamischer Legitimität,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=333,,,,,,,,,Deutschland
Silvia Tellenbach,,Ghassem Ghassemi: Criminal Policy in Iran Following the Revolution of 1979 – A Comparative Analysis of Criminal Punishment and Sentencing in Iran and Germany,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=337,,,,,,,,,Deutschland
Ulrike Qubaja & Yvonne Prief,,"Tagungsbericht „Interdisciplinary Approaches to Legal Pluralism in Muslim Context“ (6.– 7. 10. 2016), Institut für Arabistik und Islamwissenschaft und Exzellenzcluster „Religion und Politik“, Westfälische Wilhelms-Universität Münster",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=341,,,,,,,,,Deutschland
Hakkı Arslan,,"Tagungsbericht Workshop „Islamisches Recht: Methoden und Kontexte“ (14. / 15. 4. 2016), Goethe-Universität Frankfurt",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=347,,,,,,,,,Deutschland
Souheil Thabti,,"Tagungsbericht: „Zakāt in Deutschland? Ansätze, Ideen und Perspektiven“ (21.–22. 9. 2015), Institut für Islamische Theologie (IIT), Universität Osnabrück",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=355,,,,,,,,,Deutschland
Debora Müller,,"Konferenzbericht: „The Reform of Islamic Law“ (9. / 10. 10. 2015), Zentrum für Islamische Theologie (ZITh), Universität Tübingen",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=359,,,,,,,,,Deutschland
Samet Balci,,"Konferenzbericht: „Bioethik im Islam – Theologische, kulturelle und juristische Perspektiven“ (9.–11. 5. 2016), Institut für Islamische Theologie (IIT), Universität Osnabrück",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=365,,,,,,,,,Deutschland
Victor Rohm,,"Conference Report: 2015 Gingko Library – British Institute of Persian Studies Conference: Iran’s Constitutional Revolution of 1906 and the Narratives of the Enlightenment (14.– 16. 9. 2015), British Academy, London, UK",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=375,,,,,,,,,Deutschland
,,Call for Papers,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=387,,,,,,,,,Deutschland
,,Impressum,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/ZRI082016.pdf#page=391,,,,,,,,,Deutschland
Peter Scholz,,"BVerfG, 1. Senat, Beschluss vom 27.1.2015: Pauschales Kopftuchverbot für Lehrkräfte an öffentlichen Schulen verletzt Glaubens– und Bekenntnisfreiheit. Verbot religiöser Bekundungen setzt konkrete Gefahr für Schulfrieden bzw. für staatliche Neutralität voraus",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen072015.pdf#page=8,,,,,,,,,Deutschland
Jürgen Rieck,,"Ṭalāq in der EU? – Anmerkungen zu OLG München 34. Zivilsenat, EuGH-Vorlage vom 02.06.2015, 34 Wx 146/14",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen072015.pdf#page=14,,,,,,,,,Deutschland
Hilmar Krüger,,Anerkennung und Vollstreckung eines deutschen Schiedsspruchs in den VAE,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen072015.pdf#page=18,,,,,,,,,Deutschland
Kai Kreutzberger,,"Case Report: High Court of Justice (England & Wales), Family Division, K v A [2014] EWHC 3850 (Fam): The Marriage of an Aḥmadī Husband and a Sunnī Wife Can Be Valid in England Despite an Uncertain Position in Pakistani Law on the Validity of the Marriage",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen072015.pdf#page=20,,,,,,,,,Deutschland
Kai Kreutzberger,,"Fallbericht: High Court of Justice (England & Wales), Family Division: K v A [2014] EWHC 3850 (Fam): Die Ehe eines Aḥmadī mit einer Sunnitin hat Gültigkeit vor dem englischen Gericht trotz einer unklaren Rechtslage in Pakistan in der Frage der Gültigkeit der Ehe",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen072015.pdf#page=24,,,,,,,,,Deutschland
Kai Kreutzberger,,"Case Report: High Court of Justice (England & Wales), Family Division, H v S [2011] EWHC B23 (Fam): A Saudi divorce by Ṭalāq Can Be Recognised in England as a Divorce by “Judicial or Other Proceedings”",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen072015.pdf#page=30,,,,,,,,,Deutschland
Kai Kreutzberger,,"Fallbericht: High Court of Justice (England & Wales), Family Division: H v S [2011] EWHC B23 (Fam): Eine saudische Ṭalāq–Scheidung kann in England als Scheidung nach „gerichtlichem oder anderem Verfahren‟ anerkannt werden",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen072015.pdf#page=33,,,,,,,,,Deutschland
Kai Kreutzberger,,"Case Report: Upper Tribunal (Tax & Chancery Chamber), Project Blue Limited v The Commissioners for Her Majesty’s Revenue and Customs, [2014] UKUT 0564 (TCC): On the Difficult Interaction of the Provisions on Islamic Finance in UK Tax Legislation with Other Tax Reliefs and Anti-avoidance Provisions",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen072015.pdf#page=38,,,,,,,,,Deutschland
Kai Kreutzberger,,"Upper Tribunal (Tax & Chancery Chamber), Project Blue Limited v The Commissioners for Her Majestyʼs Revenue and Customs [2014] UKUT 0564 (TCC): Zur schwierigen Wechselwirkung der Vorschriften zum islamischen Finanzwesen im englischen Steuerrecht mit anderen Steuernachlässen und Vorschriften zur Verhinderung der Steuervermeidung (anti-avoidance)",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen072015.pdf#page=44,,,,,,,,,Deutschland
Patrick Schneider,,Vom “Friedhof der Urteile”: Richterliche Gesetzgebungsberatung in Sachen Zwangsvollstreckungsrecht in der Region Kurdistan / Irak,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen072015.pdf#page=50,,,,,,,,,Deutschland
Jörg Seifert,,Vereinigte Arabische Emirate: Neues Gesellschaftsrecht,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen072015.pdf#page=60,,,,,,,,,Deutschland
Rüdiger Lohlker,,"Stephan Kokew: Annäherung an Toleranz. Ausgangspunkte, Kontexte und zeitgenössische Interpretationen des Toleranzbegriffs aus dem schiitischen Islam. Würzburg: Ergon 2014",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen072015.pdf#page=66,,,,,,,,,Deutschland
Samira Selle,,"Rezension: Irene Schneider „Der Islam und die Frauen“, München: C.H. Beck 2011",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen072015.pdf#page=66,,,,,,,,,Deutschland
Achim-Rüdiger Börner,,"Uwe Blaurock (ed.), The Influence of Islam on Banking and Finance, Schriften der Ernst von Caemmerer-Stiftung, 8, Baden-Baden: Nomos 2014",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen072015.pdf#page=76,,,,,,,,,Deutschland
Ali-Reza Bhojani,,"‟Family Law in Islam. Between the Demands of fiqh and Society” – The 3rd Annual AMI Contemporary fiqhī Issues Workshop. (Al-Mahdi Institute, Birmingham, 26th – 27th March 2015)",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen072015.pdf#page=80,,,,,,,,,Deutschland
Doris Gray,,"Workshop „Gender, Law and Social Change in North Africa“, Al-Akhawayn Universität, Ifrane (Marokko), 25.–29. März 2015",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen072015.pdf#page=86,,,,,,,,,Deutschland
Farid Suleiman,,"Tagungsbericht: „Ambivalenzen islamischer Normativität im Spannungsfeld von religiösem Anspruch und deutschem Recht“, 18.–20.2.2015, Friedrich-Alexander-Universität Erlangen-Nürnberg",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen072015.pdf#page=88,,,,,,,,,Deutschland
Robert Schönrok & Aresu Tawafi,,"Konferenz „Islamic Judicial System in Classical and Modern Times: Discourses and Practices“, 28.–30. Oktober 2014 in Yogyakarta (Indonesien)",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen072015.pdf#page=94,,,,,,,,,Deutschland
Murat Karacan,,Rechtsfortbildung im islamischen Recht: Das Wesen der maṣlaḥa nach hanafitischer Auffassung und deren Anwendung im öffentlichen Recht,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen072015.pdf#page=100,,,,,,,,,Deutschland
Rana Alsoufi,,Ḥadd Punishments in Islamic Law: Critiques of the Justification of Ḥadd Punishments as Deterrence in Sunnī Discourse,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen072015.pdf#page=110,,,,,,,,,Deutschland
Anicée van Engeland,,Verse 9:5 of the Qurʾān as an Intermixed Ground for jus ad bellum and jus in bello: Adapting Islamic Classical Theory to Modern Asymmetric Conflict,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen072015.pdf#page=130,,,,,,,,,Deutschland
Çefli Ademi,,Aẓ-ẓāhir ʿinda-l-ḥākim – Das für den Richter sinnlich Wahrnehmbare,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen072015.pdf#page=152,,,,,,,,,Deutschland
Abdelaali El Maghraoui,,Das Prinzip der Gewinn– und Verlustbeteiligung (Profit-and-loss-sharing): Eine Utopisierung der Tradition?,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen072015.pdf#page=160,,,,,,,,,Deutschland
Sarra Alsamarrai & Dounia Aghdoube,,Dispute Resolution in the United Arab Emirates,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen072015.pdf#page=182,,,,,,,,,Deutschland
Nicolas Bremer,,Liquidated Damages under the Law of the United Arab Emirates and its Interpretation by UAE Courts,,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen072015.pdf#page=200,,,,,,"Die Frage des Umgangs mit dem „Extremen“ ist so alt wie die Demokratie selbst. Während sie in der ersten Hälfte des 20. Jahrhunderts vor allem im Zusammenhang mit dem europäischen Faschismus und Kommunismus debattiert wurde, ist sie in den vergangenen Jahrzehnten mit dem Aufstieg neuer rechter und linker Parteien in Europa erneut in den Fokus gerückt. Auch die Bundesrepublik hat in den letzten Jahrzehnten Erfahrung mit dem Umgang mit systemkritischen Parteien gemacht. Das gilt nicht nur für den rechten Rand: Auch die Partei Die Linke (bis 2005 PDS) und die Partei der westdeutschen Grünen sind nach ihrem Entstehen mit dezidiert systemkritischen Positionen aufgefallen und zwangen ihre Konkurrenten zu einer Antwort auf die Frage, wie mit ihnen verfahren werden sollte. Es lohnt sich daher ein Blick auf die Entwicklung dieser Parteien: Was lässt sich anhand der Integrationsgeschichte von Linken und Grünen über Voraussetzungen, Möglichkeiten und Grenzen des Umgangs mit Systemgegnern im demokratischen System der Bundesrepublik sagen?",,,Deutschland
Peter Scholz,,"BVerwG, Urteil vom 11.9.2013 – kein Anspruch eines muslimischen Mädchens auf Befreiung vom koedukativen Schwimmunterricht",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen062014.pdf#page=7,,,,,,"Rechtspopulisten sind in den vergangenen Jahren weltweit stärker geworden. Besonders in Europa ist dies in den letzten Jahren u.a. durch Probleme wie die hohe Zahl an Flüchtlingen, EU-kritische Stimmungen und Terrorismus offensichtlich geworden. Abseits der einem breiten Publikum bekannten rechtspopulistischen Parteien finden sich aber auch solche, die sogar in der Fachwelt weitgehend unbekannt sind. Zu diesen Parteien gehört zweifelsfrei die Eesti Konservatiivne Rahvaerakond (EKRE) in Estland. Dies will der Beitrag ändern und analysiert - nach Klärung des Konzepts Rechtspopulismus und der Herkunft der Partei - das Grundsatzprogramm der EKRE.",,,Deutschland
Peter Scholz,,"VGH München, Urteil vom 22.4.2014 – keine gesichtsverhüllende Verschleierung einer Schülerin im Unterricht",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen062014.pdf#page=11,,,,,,"Japan arbeitet intensiv an seinem Image als liberale, friedliche und offene Demokratie und präsentiert sich in der machtpolitisch aufgeladenen Region Ostasiens als ein Stabilitätsanker. Entgegen dieser idyllischen Darstellung setzt die langjährige japanische Regierungspartei unter Shinzo Abe zunehmend auf Nationalismus und implementiert unter dieser Ideologie eine radikale Abkehr von der bisherigen Politiklinie. Bisher konzentrierte sich die Forschung primär auf die erstaunliche Dominanz der Liberaldemokratischen Partei Japans (LDP) innerhalb des japanischen Parteiensystems. Der Beitrag setzt sich demgegenüber mit den Parteiprogrammen der LDP auseinander und unternimmt eine qualitative Erarbeitung der aktuellen Politikziele dieser Manifeste.",,,Deutschland
Kilian Bälz,,"Darya Alikhani Chamgardani, Der Allgemeine Teil des iranischen Schuldvertragsrechts. Im Spannungsverhältnis zwischen rezipiertem französischen und traditionellem islamischen Recht, Studien zum vergleichenden und internationalen Recht / Comparative and International Law Studies 183, Frankfurt a.M.: Peter Lang 2013, 217 S., EUR 56,59.",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen062014.pdf#page=13,,,,,,"Die Bedeutung einer qualitativ hochwertigen Parlamentsberichterstattung wird besonders in politischen Krisen deutlich. In ihnen versucht die Politik im Besonderen Zustimmung in der Bevölkerung zu generieren, um politische Entscheidungen zu legitimieren. Mit der sogenannten Flüchtlingskrise bildet eines der in Deutschland wohl am meisten und am kontroversesten diskutierten Themen der letzten Jahre den Untersuchungsgegenstand der vorliegenden Studie. Im Beitrag wird der Frage nachgegangen, ob sich das Framing der Flüchtlingskrise zwischen den Selbstdarstellungen parlamentarischer Akteure und der Parlamentsberichterstattung unterscheidet.",,,Deutschland
Bawar Bammarny,,"Hans-Georg Ebert / Assem Hefny, Islamisches Zivilrecht der hanafitischen Lehre. Die zivilrechtliche Kodifikation des Qadrī Pāšā, Leipziger Beiträge zur Orientforschung 31, Frankfurt a.M.: Peter Lang 2013, 310 S., EUR 64,70.",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen062014.pdf#page=15,,,,,,"Die Unabhängige Kommission zur Überprüfung des Vermögens der Parteien und Massenorganisationen (UKPV) wurde am 31. August 2016 in Taiwan gegründet. Die UKPV-Taiwan hat die Aufgabe, einen Bericht über die Vermögenswerte aller Parteien und der mit ihnen verbunden Massenorganisationen sowie Unternehmen des KMT-Regimes zu erstellen. Der UKPV-Taiwan ist darüber hinaus berechtigt, zur Erfüllung ihrer Aufgaben selbst zu bestimmen, welche Parteienfinanzierungsquellen und welche Massenorganisationen überprüft werden, und das aus dem ehemaligen Kuomintang-Regime stammende Parteivermögen einzuziehen. Der Beitrag zeigt auf, dass sich die gesetzlichen Regelungen in Taiwan maßgeblich auf das Gesetz über Parteien und andere politische Vereinigungen (PartG-DDR) und die Praxiserfahrung der Unabhängigen Kommission zur Überprüfung des Vermögens der Parteien und Massenorganisationen der DDR (UKPV) stützen. Jedoch trafen die eigentlich gleichen Zwecken dienenden Vorschriften auf verschiedene politische Wirklichkeiten in Taiwan und Deutschland, weshalb die schlichte Rezeption der Normen die Rechtsanwendung in Taiwan erschwert.",,,Deutschland
Kai Kreutzberger,,"Osman Sacarcelik, Rechtsfragen islamischer Zertifikate (Sukuk), Baden-Baden: Nomos 2013, 303 S., EUR 79,00.",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen062014.pdf#page=21,,,,,,Im deutschen Parteiensystem wird die Große Koalition anscheinend von einer Ausnahme zu einer Regel. Im medialen Diskurs wird diese Koalitionsform immer wieder negativ bewertet. Die feuilletonistischen Beiträge befürchten eine vermeintlich polarisierende Wirkung und in der Konsequenz die Stärkung extremer Parteien. Dies wiederum könnte der Vermutung nach die Stabilität und Funktionsweise des politischen Systems insgesamt beeinträchtigen. Doch welchen Einfluss hat ein solcher Koalitionstyp tatsächlich auf das politische System der Bundesrepublik? Dieser Frage geht der Beitrag unter Rückgriff auf das theoretische Konstrukt des polarisierten Pluralismus nach.,,,Deutschland
Kai Kreutzberger,,"Gregor Nikolas Rutow, Rechtsvergleich über die Zulässigkeit von Haftungsausschlüssen, Haftungsbeschränkungen und pauschaliertem Schadenersatz in einzelnen arabischen Rechtsordnungen, Frankfurt a. M.: Peter Lang 2014, 256 S., EUR 51,40.",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen062014.pdf#page=27,,,,,,"Parlamente machen Politik. Eine Kernkompetenz liegt dabei in der Erarbeitung und dem erfolgreichen Durchbringen von Gesetzesvorhaben. Dabei fällt der im Parlament die Mehrheit stellenden Koalition und ihrer Regierung eine tragende Rolle zu. Der Umwelt von Parlamenten wird eine zunehmende Beschleunigung unterstellt, in deren Folge das Parlament in seiner Reaktion permanenten Zeitdruck erfährt, den es zu organisieren gilt. Die zugrunde gelegte Annahme ist dabei, dass sich die gesellschaftlichen Entwicklungen und Politik desynchronisiert haben, aber gleichzeitig ein Bestreben da ist, diese Desynchronisation so gering wie möglich zu halten. Damit stellt sich die Frage: Inwieweit reagiert der Gesetzgeber auf diese Desynchronisation? Beschleunigt er selbst seine Prozesse? Auf der Grundlage von Daten des Deutschen Bundestages (Dokumentations- und Informationssystem für Parlamentarische Vorgänge, DIP) stellt der Beitrag „Befunde zur Beschleunigung der deutschen Gesetzgebung“ für die Wahlperioden nach der Wiedervereinigung mit besonderem Fokus auf der 18. Wahlperiode vor.",,,Deutschland
Tina Roeder,,"Peter Scholz / Christine Langenfeld / Jens Scheiner / Naseef Naeem (Hgg.), Jahrbuch für Verfassung, Recht und Staat im islamischen Kontext – 2012/2013, Recht der Staaten im islamischen Kulturraum 2, Baden-Baden: Nomos 2013, 222 S., EUR 59,00.",,Zeitschrift für Recht & Islam,ZRI,,,,,http://zri.gair.de/images/GAIR-Mitteilungen062014.pdf#page=33,,,,,,"Auf europäischer Ebene haben sich mitgliedstaatliche Parteien gleicher oder zumindest ähnlicher politischer Ausrichtung zu Verbünden politischer Parteien zusammengeschlossen, die ihrerseits als europäische politische Parteien agieren. Deren Bedeutung ist nicht zu unterschätzen und nimmt zu, auch wenn sie in der öffentlichen Wahrnehmung derzeit noch eine untergeordnete Rolle spielen. Der Rechtsrahmen für die Tätigkeit dieser europäischen politischen Parteien - die „Verordnung über das Statut und die Finanzierung europäischer politischer Parteien und europäischer politischer Stiftungen“ - wurde mit Wirkung zum 1. Januar 2017 ergänzt und modifiziert. Der Beitrag setzt sich mit den dadurch aufgeworfenen zahlreichen Rechtfragen für die Tätigkeit europäischer politischer Parteien auseinander.",,,Deutschland
