Titel,Zeitschrift,Zeitschriftkürzel,Land
"Leander Brößler, Strafprozessuale Revision – Eine Anleitung für Klausur und Praxis, 8. Aufl., 2012",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Jörn Griebel/Florian Gröblinghoff (Hrsg.), Von der juristischen Lehre, Erfahrungen und Denkanstöße, 2012",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Verbraucherbürgschaften als außerhalb von Geschäftsräumen geschlossene Verträge,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Der Lebenszyklus politischer Parteien – Eine „evolutionäre“ Einführung in das Parteienrecht – Teil 3/6,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Normenkontrollen – Teil 2Fragen der Zulässigkeit: Abstrakte Normenkontrolle,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Ausgewählte verfassungsrechtliche Fragen am Beispiel der Ersten Juristischen Prüfung,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Zu den Möglichkeiten echter Wahlfeststellung zwischen Strafvereitelung und falscher Verdächtigung,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Konkurrenzprobleme im Kaufgewährleistungsrecht,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsklausur: Ausgebootet,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsklausur im Zivilrecht: Sicherungsgeschäfte,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: „Landeskinderklausel“ – Studiengebühren vor dem Bundesverfassungsgericht,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Zwischenprüfungsklausur im Strafprozessrecht: Private Investigations,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 19.11.2013 – II ZR 150/12(„Ausbootende“ Sanierung – Treuepflichtverletzung ein-zelner Gesellschafter eines GbR-Fonds infolge Gründung einer Neu-GbR unter Ausschluss einzelner Gesellschafter der Alt-GbR)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BVerfG, Urt. v. 26.2.2014 – 2 BvE 2/13, 2 BvE 5/13, 2 BvE 6/13, 2 BvE 7/13, 2 BvE 8/13, 2 BvE 9/13, 2 BvE 10/13, 2 BvE 12/13, 2 BvR 2220/13, 2 BvR 2221/13, 2 BvR 2238/13(Drei-Prozent-Klausel im Europawahlgesetz)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Beschl. v. 19.11.2013 – 4 StR 292/13(Computerbetrug im automatisierten Mahnverfahren)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 9.10.2013 – VIII ZR 224/12(Beschreibungen von Kunstgegenständen in Auktionskatalogen in der Systematik des Sachmängelgewährleistungsrechts)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BVerfG, Beschl. v. 17.12.2013 – 1 BvL 5/08(Rückwirkungsverbot und Handlungsspielraum des Gesetzgebers)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Urkundenprozess bei WerklohnforderungenZugleich Besprechung von OLG Schleswig, Urt. v. 30.8.2013 – 1 U 11/13",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Der Lebenszyklus politischer Parteien – Eine „evolutionäre“ Einführung in das Parteienrecht – Teil 4/6,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Normenkontrollen – Teil 3Fragen der Zulässigkeit: Konkrete Normenkontrolle,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Einführung in das Kostenrecht der ZPO,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Die Zeitweiligkeit des Rechts – Das verfassungsrechtliche Rückwirkungsverbot und die lex mitior-Regel (Art. 103 Abs. 2 GG, §§ 3, 4 OWiG bzw. §§ 1, 2 StGB)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Schmutzige Methoden wegen sauberer Energie,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Anfängerhausarbeit: Verzinsungspflicht für Kartellgeldbußen natürlicher Personen,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Übungsfall: „Vertauscht, verkehrt, verfahren“",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsklausur: „I am the danger“,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 16.5.2014 – V ZR 181/13(Beseitigungsanspruch aus § 1004 Abs. 1 S. 1 BGB bei Störung des Grundstückseigentums durch unterirdische Stromleitungen)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"OVG Hamburg, Beschl. v. 17.6.2013 – 2 Bs 151/13(Nachbarklage gegen baurechtliche Befreiung – Asylbewerberunterkunft)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Beschl. v. 28.1.2014 – 2 StR 495/12(Anfragebeschluss zur Aufgabe der bisherigen Rechtsprechung: Verfassungswidrigkeit der echten Wahlfeststellung)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 18.2.2014 – VI ZR 383/12(Abschleppen eines verbotswidrig geparkten Kfz – Einbeziehung eines Dritten in Schutzwirkung des Vertrages)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BVerfG, Urt. v. 25.3.2014 – 1 BvF 1/11, 1 BvF 4/11(Verfassungswidrigkeit des ZDF-Staatsvertrages)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Beschl. v. 29.4.2014 – 3 StR 21/14 (Versuchter Mord aus Heimtücke – „Schuss durchs Fenster der Beifahrertür“)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Beschl. v. 14.5.2013 – 3 StR 69/13(Zum Erfordernis des Absatzerfolges bei der Hehlerei)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Alexander Rathenau, Einführung in das portugiesische Recht, 2013",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Christoph Link, Kirchliche Rechtsgeschichte, 2. Aufl. 2010",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Das argumentum ad absurdum und seine Bedeutung in examensrelevanten Meinungsstreitigkeiten,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Die vorzugswürdige Definition der Kollusion,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Der Lebenszyklus politischer Parteien – Eine „evolutionäre“ Einführung in das Parteienrecht – Teil 5/6,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Normenkontrollen – Teil 4Fragen der Zulässigkeit: Rechtssatzverfassungsbeschwerde und Kommunalverfassungsbeschwerde,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Großer Ausschuss oder Großer Ausschluss?Zur Verfassungsmäßigkeit eines Hauptausschusses im Deutschen Bundestag,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Überblick über die Streitstände beim Verwendungsersatz im EBV,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Den Bürgen sollst du würgen,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Spülmaschine auf Bodenfliesen,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Mindestlohn für das Volk! – Mindestlohn des Volkes?,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Anfängerhausarbeit: Verdachtsberichterstattung im Verfassungsschutzbericht,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsklausur Schwerpunktbereich Völker- und Europarecht: Burka-Verbot,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Von hessischen Geizhälsen und norddeutschen Hilfspolizisten – Teil 1,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 3.6.2014 – XI ZR 147/12(Anlageberatung: Haftung für fehlerhafte Aufklärung über Innenvergütungen)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 27.3.2014 – 3 StR 342/13(Strafbarkeit wegen Betrugs durch sog. Ping-Anrufe)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Beschl. v. 24.9.2013 – 2 StR 267/13(Unwirksamkeit des Rechtsmittelverzichts bei informeller Absprache – Gebot der „Ausschöpfung des Beweismaterials“ beim geständigen Angeklagten)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"EuGH, Urt. v. 27.5.2014 – C-129/14 PPU(Zur Fortgeltung des Vollstreckungselements aus Art. 54 SDÜ; Voraussetzungen des Vollstreckungselements bei gleichzeitiger Verhängung von Geld- und Freiheitsstrafe)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Erik Kraatz, Arztstrafrecht, 2013",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Hauke Brettel/Hendrik Schneider, Wirtschaftsstrafrecht, 2014",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Generalstaatsanwalt Dr. Fritz Bauer und der Braunschweiger Prozess um den 20. JuliVortrag auf der Absolventenfeier der rechtswissenschaftlichen Fakultät der Universität Göttingen am 25.7.2014,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übersicht zu der Neuregelung des Widerrufs durch die Umsetzung der europäischen VerbraucherrechterichtlinieDarstellung der Änderungen des BGB und der Folgen für die gutachterliche Prüfung des Widerrufs von Verbraucherverträgen,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Der Lebenszyklus politischer Parteien – Eine „evolutionäre“ Einführung in das Parteienrecht – Teil 6/6,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Normenkontrollen – Teil 5Fragen der Zulässigkeit: Normenkontrolle zum Oberverwaltungsgericht,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Jenseits von Staatsnotar und Staatsleitung: Die Prüfungskompetenz des Bundespräsidenten,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Gefahrgeneigte Tätigkeiten – oder: Zur Strafbarkeit berufstypischen VerhaltensZugleich eine Besprechung von BGH, Urt. v. 22.1.2014 – 5 StR 468/12, sowie OLG München, Beschl. v. 3.11.2014 – 4 OLG 15 Ss 466/14",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Fortgeschrittenenklausur: A bisserl was geht immer!,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Wem bringen Scherben Glück?,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Windige Unternehmensanleihen,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Anfängerhausarbeit: Staatsorganisationsrecht – Nichtanerkennungsbeschwerde,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Die Gemeinschaftsunterkunft,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Aktenvortrag: Religionsfreiheit, Versammlungsrecht, Anspruch auf behördliches Einschreiten",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Im Schwitzkasten,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Von hessischen Geizhälsen und norddeutschen Hilfspolizisten – Teil 2,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 22.5.2014 − 4 StR 430/13(Serienbetrug im Lastenschriftverfahren – Irrtumserregung beim Opfer)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Beschl. v. 1.8.2013 – 4 StR 189/13 (Räuberische Erpressung im Fall der Nötigung einer Prostituierten zum Geschlechtsverkehr an ihrem Arbeitsplatz)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Putzke/Scheinfeld, Strafprozessrecht, 5. Aufl. 2013",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Philipp ter Haar/Carsten Lutz/Matthias Wiedenfels, Prädikatsexamen – Der selbstständige Weg zum erfolgreichen Examen, 3. Aufl. 2012",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Bernd Hecker/Mark A. Zöller, Fallsammlung zum Europäischen und Internationalen Strafrecht, 2012",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Tagungsbericht zur V. Herbstakademie Mietrecht 2014,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Recht mitgestalten – vom Themenvorschlag bis zur Umsetzung in GesetzesvorhabenErfahrungsbericht zum 70. Deutschen Juristentag in Hannover,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Erwiderung auf: Jenseits von Staatsnotar und Staatsleitung: Die Prüfungskompetenz des Bundespräsidenten,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Die Umweltverträglichkeitsprüfung bei der Zulassung von Infrastruktur- und Industrieanlagen,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Die richtlinienkonforme Rechtsfortbildung im dreistufigen System der Richtlinienwirkungen,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Der fehlgeschlagene Versuch: rechtliche Einordnung und Anwendung des Zweifelssatzes bei fehlenden Feststellungen zum Vorstellungsbild des Täters,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Die AGB-Kontrolle nach §§ 305 ff. BGB in der Zivilrechtsklausur,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Das Willkürverbot – ein allzeit einsatzbereites Mittel des BVerfGAnmerkungen zu BVerfG, Beschl. v. 26.8.2014 – 2 BvR 2400/13 und 2172/13, bzgl. der Negativmitteilungspflicht im Sinne des § 243 Abs. 4 S. 1 StPO",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Fortgeschrittenenklausur: Überhöhte Abschleppkosten und verweigerte Herausgabe,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Fortgeschrittenenklausur: Alles oder nichts,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Fortgeschrittenenklausur: Der verpasste Aufstieg,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Fortgeschrittenenklausur: Der konfliktgeladene iPod,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Von erschlichenen Einbürgerungen und Sprachnachweisen,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Gemeindliche- und/oder Staatshaftung beim unwirksamen Bebauungsplan,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Rempelei am Glühweinstand,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Beschl. v. 24.6.2014 – 2 StR 73/14(Ingebrauchnahme eines Fahrzeugs nach Ablauf der Berechtigung – Mutmaßliches Einverständnis und mutmaßliche Einwilligung)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Gereon Wolters/Michael Gubitz, Strafrecht im Assessorexamen, 7. Aufl. 2012",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Charity Wibabara, Gacaca Courts versus the International Criminal Tribunal for Rwanda and National Courts, 2014",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Trinkverbote, Supermarktketten und FußballplätzeDrei Jahre VGH Baden-Württemberg Moot Court",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Strafrecht als interdisziplinäre WissenschaftBericht zum 4. Symposium junger Strafrechtswissenschaftlerinnen und Strafrechtswissenschaftler an der Georg-August-Universität Göttingen am 7. und 8.11.2014,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Die Durchsetzung von Organhaftungsansprüchen im Schiedsverfahren,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Erwiderung auf: Jenseits von Staatsnotar und Staatsleitung: Die Prüfungskompetenz des Bundespräsidenten,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Und das Ende der Geschicht’, Schwarzarbeit, die lohnt sich nichtEin klausurfallbezogener Überblick",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Grundwissen zum Ablauf von M&A Transaktionen,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Einführung in das Vergaberecht,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Fortgeschrittenenklausur: Beratungsbedarf bei Beendigung eines Mietverhältnisses,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Die E-Mail-Steuer,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Das geht ab! Wir feiern die ganze Nacht!Facebookpartys und das Polizeirecht,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Fortgeschrittenenhausarbeit: Rocker knacken Schlösser und Knochen,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Ärger nach dem Physikum,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: Plötzlicher Kindstod?,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 8.5.2014 – 3 StR 243/13(Zur Bestimmtheit [Art. 103 Abs. 2 GG] des § 89a Abs. 1, Abs. 2 Nr. 3 StGB sowie zur Auslegung des Begriffs der schweren staatsgefährdenden Gewalttat im Sinne des § 89a Abs. 1 S. 2 StGB)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Beschl. v. 16.6.2014 – 4 StR 21/14(Betrug durch Pflegedienstunternehmer bei Einsatz unzureichend qualifizierten Personals)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BAG, Urt. v. 21.8.2014 – 8 AZR 655/13(Schadensersatz wegen Wegnahme von Zahngold durch Krematoriumsmitarbeiter)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Tina Hildebrand, Juristischer Gutachtenstil, Ein Lehr- und Arbeitsbuch, 2014",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"Stefan Rolletschke, Steuerstrafrecht, 4. Aufl. 2012",Zeitschrift für das Juristische Studium,ZJS,Deutschland
Zur Ersatzfähigkeit aufgewendeter Kosten bei Verletzungsverdacht nach einem Verkehrsunfall,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Die Selbstpfändung als Aufrechnungsersatz in der Zwangsvollstreckung,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Das Recht auf informationelle Selbstbestimmung,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Flug 4U 9525Anlass für eine Reform der ärztlichen Schweigepflicht?,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: HALEC,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Übungsfall: In der Gosse,Zeitschrift für das Juristische Studium,ZJS,Deutschland
Examensklausur: Ein vertanes Talent und die Verlockungen des elektronischen Zahlungsverkehrs,Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Urt. v. 25.6.2014 – VIII ZR 10/14(Fristwahrender Widerspruch gegen Mietvertragsfortsetzung bei demnächst erfolgender Zustellung)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BVerfG, Beschl. v. 27.1.2015 – 1 BvR 471/10, 1 BvR 1181/10(Pauschales Kopftuchverbot und Glaubens- und Bekenntnisfreiheit)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BVerwG, Urt. v. 21.01.2015 – 10 C 11.14(Ausschluss aus dem Gemeinderat wegen „Verwirkung der Unbescholtenheit“)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"OLG Hamm, Beschl. v. 29.4.2014 – 1 RVs 24/14(Zu den Voraussetzungen des Gewahrsams und des Einverständnisses nach § 242 StGB)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
"BGH, Beschl. v. 17.9.2014 – 1 StR 387/14(Entziehung Minderjähriger durch Entziehung eines Elternteils)",Zeitschrift für das Juristische Studium,ZJS,Deutschland
